DEBUG:root:{TICK: 85, IP: 33, ADDR: 20, DATA: {'term': ['data', 4]}, ACC: {'term': ['data', 4]}, SR: 0} MOD 19
DEBUG:root:{TICK: 87, IP: 34, ADDR: 19, DATA: {'term': [<Opcode.DATA: 'data'>, 5]}, ACC: {'term': ['data', 4]}, SR: 0} CMP 21
DEBUG:root:{TICK: 89, IP: 35, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} JE 37
DEBUG:root:{TICK: 90, IP: 36, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} JMP 23
DEBUG:root:{TICK: 91, IP: 23, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 93, IP: 24, ADDR: 20, DATA: {'term': ['data', 4]}, ACC: {'term': ['data', 4]}, SR: 0} INC
DEBUG:root:{TICK: 94, IP: 25, ADDR: 20, DATA: {'term': ['data', 4]}, ACC: {'term': ['data', 5]}, SR: 0} ST 20
DEBUG:root:{TICK: 96, IP: 26, ADDR: 20, DATA: {'term': ['data', 5]}, ACC: {'term': ['data', 5]}, SR: 0} CMP 22
DEBUG:root:{TICK: 98, IP: 27, ADDR: 22, DATA: {'term': [<Opcode.DATA: 'data'>, 1000]}, ACC: {'term': ['data', 1]}, SR: 0} JE 41
DEBUG:root:{TICK: 99, IP: 28, ADDR: 22, DATA: {'term': [<Opcode.DATA: 'data'>, 1000]}, ACC: {'term': ['data', 1]}, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 101, IP: 29, ADDR: 20, DATA: {'term': ['data', 5]}, ACC: {'term': ['data', 5]}, SR: 0} MOD 18
DEBUG:root:{TICK: 103, IP: 30, ADDR: 18, DATA: {'term': [<Opcode.DATA: 'data'>, 3]}, ACC: {'term': ['data', 2]}, SR: 0} CMP 21
DEBUG:root:{TICK: 105, IP: 31, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} JE 37
DEBUG:root:{TICK: 106, IP: 32, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 108, IP: 33, ADDR: 20, DATA: {'term': ['data', 5]}, ACC: {'term': ['data', 5]}, SR: 0} MOD 19
DEBUG:root:{TICK: 110, IP: 34, ADDR: 19, DATA: {'term': [<Opcode.DATA: 'data'>, 5]}, ACC: {'term': ['data', 0]}, SR: 0} CMP 21
DEBUG:root:{TICK: 112, IP: 35, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 0]}, SR: 0} JE 37
DEBUG:root:{TICK: 113, IP: 37, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 0]}, SR: 0} LD_VAL 17
DEBUG:root:{TICK: 115, IP: 38, ADDR: 17, DATA: {'term': ['data', 3]}, ACC: {'term': ['data', 3]}, SR: 0} ADD 20
DEBUG:root:{TICK: 117, IP: 39, ADDR: 20, DATA: {'term': ['data', 5]}, ACC: {'term': ['data', 8]}, SR: 0} ST 17
DEBUG:root:{TICK: 119, IP: 40, ADDR: 17, DATA: {'term': ['data', 8]}, ACC: {'term': ['data', 8]}, SR: 0} JMP 23
DEBUG:root:{TICK: 120, IP: 23, ADDR: 17, DATA: {'term': ['data', 8]}, ACC: {'term': ['data', 8]}, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 122, IP: 24, ADDR: 20, DATA: {'term': ['data', 5]}, ACC: {'term': ['data', 5]}, SR: 0} INC
DEBUG:root:{TICK: 123, IP: 25, ADDR: 20, DATA: {'term': ['data', 5]}, ACC: {'term': ['data', 6]}, SR: 0} ST 20
DEBUG:root:{TICK: 125, IP: 26, ADDR: 20, DATA: {'term': ['data', 6]}, ACC: {'term': ['data', 6]}, SR: 0} CMP 22
DEBUG:root:{TICK: 127, IP: 27, ADDR: 22, DATA: {'term': [<Opcode.DATA: 'data'>, 1000]}, ACC: {'term': ['data', 1]}, SR: 0} JE 41
DEBUG:root:{TICK: 128, IP: 28, ADDR: 22, DATA: {'term': [<Opcode.DATA: 'data'>, 1000]}, ACC: {'term': ['data', 1]}, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 130, IP: 29, ADDR: 20, DATA: {'term': ['data', 6]}, ACC: {'term': ['data', 6]}, SR: 0} MOD 18
DEBUG:root:{TICK: 132, IP: 30, ADDR: 18, DATA: {'term': [<Opcode.DATA: 'data'>, 3]}, ACC: {'term': ['data', 0]}, SR: 0} CMP 21
DEBUG:root:{TICK: 134, IP: 31, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 0]}, SR: 0} JE 37
DEBUG:root:{TICK: 135, IP: 37, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 0]}, SR: 0} LD_VAL 17
DEBUG:root:{TICK: 137, IP: 38, ADDR: 17, DATA: {'term': ['data', 8]}, ACC: {'term': ['data', 8]}, SR: 0} ADD 20
DEBUG:root:{TICK: 139, IP: 39, ADDR: 20, DATA: {'term': ['data', 6]}, ACC: {'term': ['data', 14]}, SR: 0} ST 17
DEBUG:root:{TICK: 141, IP: 40, ADDR: 17, DATA: {'term': ['data', 14]}, ACC: {'term': ['data', 14]}, SR: 0} JMP 23
DEBUG:root:{TICK: 142, IP: 23, ADDR: 17, DATA: {'term': ['data', 14]}, ACC: {'term': ['data', 14]}, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 144, IP: 24, ADDR: 20, DATA: {'term': ['data', 6]}, ACC: {'term': ['data', 6]}, SR: 0} INC
DEBUG:root:{TICK: 145, IP: 25, ADDR: 20, DATA: {'term': ['data', 6]}, ACC: {'term': ['data', 7]}, SR: 0} ST 20
DEBUG:root:{TICK: 147, IP: 26, ADDR: 20, DATA: {'term': ['data', 7]}, ACC: {'term': ['data', 7]}, SR: 0} CMP 22
DEBUG:root:{TICK: 149, IP: 27, ADDR: 22, DATA: {'term': [<Opcode.DATA: 'data'>, 1000]}, ACC: {'term': ['data', 1]}, SR: 0} JE 41
DEBUG:root:{TICK: 150, IP: 28, ADDR: 22, DATA: {'term': [<Opcode.DATA: 'data'>, 1000]}, ACC: {'term': ['data', 1]}, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 152, IP: 29, ADDR: 20, DATA: {'term': ['data', 7]}, ACC: {'term': ['data', 7]}, SR: 0} MOD 18
DEBUG:root:{TICK: 154, IP: 30, ADDR: 18, DATA: {'term': [<Opcode.DATA: 'data'>, 3]}, ACC: {'term': ['data', 1]}, SR: 0} CMP 21
DEBUG:root:{TICK: 156, IP: 31, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} JE 37
DEBUG:root:{TICK: 157, IP: 32, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 159, IP: 33, ADDR: 20, DATA: {'term': ['data', 7]}, ACC: {'term': ['data', 7]}, SR: 0} MOD 19
DEBUG:root:{TICK: 161, IP: 34, ADDR: 19, DATA: {'term': [<Opcode.DATA: 'data'>, 5]}, ACC: {'term': ['data', 2]}, SR: 0} CMP 21
DEBUG:root:{TICK: 163, IP: 35, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} JE 37
DEBUG:root:{TICK: 164, IP: 36, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} JMP 23
DEBUG:root:{TICK: 165, IP: 23, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 167, IP: 24, ADDR: 20, DATA: {'term': ['data', 7]}, ACC: {'term': ['data', 7]}, SR: 0} INC
DEBUG:root:{TICK: 168, IP: 25, ADDR: 20, DATA: {'term': ['data', 7]}, ACC: {'term': ['data', 8]}, SR: 0} ST 20
DEBUG:root:{TICK: 170, IP: 26, ADDR: 20, DATA: {'term': ['data', 8]}, ACC: {'term': ['data', 8]}, SR: 0} CMP 22
DEBUG:root:{TICK: 172, IP: 27, ADDR: 22, DATA: {'term': [<Opcode.DATA: 'data'>, 1000]}, ACC: {'term': ['data', 1]}, SR: 0} JE 41
DEBUG:root:{TICK: 173, IP: 28, ADDR: 22, DATA: {'term': [<Opcode.DATA: 'data'>, 1000]}, ACC: {'term': ['data', 1]}, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 175, IP: 29, ADDR: 20, DATA: {'term': ['data', 8]}, ACC: {'term': ['data', 8]}, SR: 0} MOD 18
